944;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Ab-dglc-HEX-1%3A5%0D%0A10s%3An-acetyl%0D%0A11b%3Aa-dman-HEX-1%3A5%0D%0A12b%3Ab-dglc-HEX-1%3A5%0D%0A13s%3An-acetyl%0D%0A14b%3Ab-dglc-HEX-1%3A5%0D%0A15s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A6o%284%2B1)9d%0D%0A9%3A9d%282%2B1)10n%0D%0A10%3A5o%286%2B1)11d%0D%0A11%3A11o%282%2B1)12d%0D%0A12%3A12d%282%2B1)13n%0D%0A13%3A11o%286%2B1)14d%0D%0A14%3A14d%282%2B1)15n%0D%0A;G20030CU
945;;G20030CU
946;;G20030CU
947;;G20030CU
948;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Ab-dgal-HEX-1%3A5%0D%0A10s%3An-acetyl%0D%0A11b%3Aa-dman-HEX-1%3A5%0D%0A12b%3Ab-dglc-HEX-1%3A5%0D%0A13s%3An-acetyl%0D%0A14b%3Ab-dgal-HEX-1%3A5%0D%0A15s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%284%2B1)9d%0D%0A9%3A9d%282%2B1)10n%0D%0A10%3A5o%286%2B1)11d%0D%0A11%3A11o%282%2B1)12d%0D%0A12%3A12d%282%2B1)13n%0D%0A13%3A12o%284%2B1)14d%0D%0A14%3A14d%282%2B1)15n%0D%0A;G09482NW
949;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A10b%3Ab-dgal-HEX-1%3A5%0D%0A11b%3Ab-dglc-HEX-1%3A5%0D%0A12s%3An-acetyl%0D%0A13b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A14b%3Ab-dgal-HEX-1%3A5%0D%0A15b%3Aa-dman-HEX-1%3A5%0D%0A16b%3Ab-dglc-HEX-1%3A5%0D%0A17s%3An-acetyl%0D%0A18b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A19b%3Ab-dgal-HEX-1%3A5%0D%0A20b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%283%2B1)9d%0D%0A9%3A7o%284%2B1)10d%0D%0A10%3A6o%284%2B1)11d%0D%0A11%3A11d%282%2B1)12n%0D%0A12%3A11o%283%2B1)13d%0D%0A13%3A11o%284%2B1)14d%0D%0A14%3A5o%286%2B1)15d%0D%0A15%3A15o%282%2B1)16d%0D%0A16%3A16d%282%2B1)17n%0D%0A17%3A16o%283%2B1)18d%0D%0A18%3A16o%284%2B1)19d%0D%0A19%3A1o%286%2B1)20d%0D%0AUND%0D%0AUND1%3A100.0%3A100.0%0D%0AParentIDs%3A1|3|5|6|7|9|10|11|13|14|15|16|18|19|20%0D%0ASubtreeLinkageID1%3Ao%283%2B1)d%0D%0ARES%0D%0A21b%3Aa-dgal-HEX-1%3A5%0D%0A;G30031SO
950;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dgal-HEX-1%3A5%0D%0A4b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A5b%3Aa-dgal-HEX-1%3A5%0D%0A6s%3An-acetyl%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Ab-dgal-HEX-1%3A5%0D%0A10b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A11s%3An-acetyl%0D%0A12b%3Ab-dgal-HEX-1%3A5%0D%0A13s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%283%2B1)3d%0D%0A3%3A3o%282%2B1)4d%0D%0A4%3A3o%283%2B1)5d%0D%0A5%3A5d%282%2B1)6n%0D%0A6%3A1o%286%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%284%2B1)9d%0D%0A9%3A9o%283%2B2)10d%0D%0A10%3A10d%285%2B1)11n%0D%0A11%3A9o%284%2B1)12d%0D%0A12%3A12d%282%2B1)13n%0D%0A;G79544NP
951;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Aa-dman-HEX-1%3A5%0D%0A8b%3Aa-dman-HEX-1%3A5%0D%0A9b%3Aa-dman-HEX-1%3A5%0D%0A10b%3Aa-dman-HEX-1%3A5%0D%0A11b%3Aa-dman-HEX-1%3A5%0D%0A12b%3Aa-dman-HEX-1%3A5%0D%0A13b%3Aa-dman-HEX-1%3A5%0D%0A14b%3Aa-dman-HEX-1%3A5%0D%0A15b%3Aa-dman-HEX-1%3A5%0D%0A16b%3Aa-dman-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7o%282%2B1)8d%0D%0A8%3A8o%283%2B1)9d%0D%0A9%3A6o%286%2B1)10d%0D%0A10%3A10o%286%2B1)11d%0D%0A11%3A11o%282%2B1)12d%0D%0A12%3A12o%283%2B1)13d%0D%0A13%3A5o%286%2B1)14d%0D%0A14%3A14o%283%2B1)15d%0D%0A15%3A14o%286%2B1)16d%0D%0A;G56329KE
952;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ax-dglc-HEX-1%3A5%0D%0A4b%3Ax-dgal-HEX-1%3A5%0D%0A5b%3Ax-lgal-HEX-1%3A5|6%3Ad%0D%0A6s%3An-acetyl%0D%0A7b%3Ax-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%283%2B1)3d%0D%0A3%3A3o%28-1%2B1)4d%0D%0A4%3A4o%282%2B1)5d%0D%0A5%3A3d%282%2B1)6n%0D%0A6%3A1o%286%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A;G23990GP
953;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2b%3Ax-dglc-HEX-1%3A5%0D%0A3s%3An-acetyl%0D%0A4b%3Ax-dgal-HEX-1%3A5%0D%0A5s%3An-acetyl%0D%0A6b%3Ax-dglc-HEX-1%3A5%0D%0A7b%3Ax-lgal-HEX-1%3A5|6%3Ad%0D%0A8b%3Ax-dgal-HEX-1%3A5%0D%0A9s%3An-acetyl%0D%0A10s%3An-acetyl%0D%0A11s%3An-acetyl%0D%0ALIN%0D%0A1%3A1o%28-1%2B1)2d%0D%0A2%3A2d%282%2B1)3n%0D%0A3%3A2o%283%2B1)4d%0D%0A4%3A4d%282%2B1)5n%0D%0A5%3A1o%28-1%2B1)6d%0D%0A6%3A6o%28-1%2B1)7d%0D%0A7%3A6o%28-1%2B1)8d%0D%0A8%3A8d%282%2B1)9n%0D%0A9%3A6d%282%2B1)10n%0D%0A10%3A1d%282%2B1)11n%0D%0A;G48838QN
954;;G48838QN
955;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Aa-dman-HEX-1%3A5%0D%0A8b%3Aa-dman-HEX-1%3A5%0D%0A9b%3Aa-dglc-HEX-1%3A5%0D%0A10b%3Aa-dglc-HEX-1%3A5%0D%0A11b%3Aa-dglc-HEX-1%3A5%0D%0A12b%3Aa-dman-HEX-1%3A5%0D%0A13b%3Aa-dman-HEX-1%3A5%0D%0A14b%3Aa-dman-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7o%282%2B1)8d%0D%0A8%3A8o%283%2B1)9d%0D%0A9%3A9o%283%2B1)10d%0D%0A10%3A10o%282%2B1)11d%0D%0A11%3A5o%286%2B1)12d%0D%0A12%3A12o%283%2B1)13d%0D%0A13%3A13o%282%2B1)14d%0D%0A;G66728LX
956;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ax-dglc-HEX-1%3A5%0D%0A8b%3Ax-dgal-HEX-1%3A5%0D%0A9s%3An-acetyl%0D%0A10b%3Ax-dglc-HEX-1%3A5%0D%0A11s%3An-acetyl%0D%0A12b%3Aa-dman-HEX-1%3A5%0D%0A13b%3Ax-dglc-HEX-1%3A5%0D%0A14b%3Ax-dgal-HEX-1%3A5%0D%0A15s%3An-acetyl%0D%0A16b%3Ax-lgal-HEX-1%3A5|6%3Ad%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%28-1%2B1)7d%0D%0A7%3A7o%28-1%2B1)8d%0D%0A8%3A7d%282%2B1)9n%0D%0A9%3A5o%284%2B1)10d%0D%0A10%3A10d%282%2B1)11n%0D%0A11%3A5o%286%2B1)12d%0D%0A12%3A12o%28-1%2B1)13d%0D%0A13%3A13o%28-1%2B1)14d%0D%0A14%3A13d%282%2B1)15n%0D%0A15%3A1o%286%2B1)16d%0D%0AUND%0D%0AUND1%3A100.0%3A100.0%0D%0AParentIDs%3A1|3|5|6|7|8|10|12|13|14|16%0D%0ASubtreeLinkageID1%3Ao%28-1%2B-1)d%0D%0ARES%0D%0A17b%3Ax-lgal-HEX-1%3A5|6%3Ad%0D%0A;G31838XA
957;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2b%3Ax-lgal-HEX-1%3A5|6%3Ad%0D%0A3s%3An-acetyl%0D%0A4b%3Ab-dglc-HEX-1%3A5%0D%0A5s%3An-acetyl%0D%0A6b%3Ab-dman-HEX-1%3A5%0D%0A7b%3Ax-dxyl-PEN-1%3A5%0D%0A8b%3Aa-dman-HEX-1%3A5%0D%0A9b%3Ax-dara-PEN-1%3A5%0D%0A10b%3Ab-dglc-HEX-1%3A5%0D%0A11s%3An-acetyl%0D%0A12b%3Aa-dman-HEX-1%3A5%0D%0A13b%3Ax-dara-PEN-1%3A5%0D%0A14b%3Ab-dglc-HEX-1%3A5%0D%0A15s%3An-acetyl%0D%0ALIN%0D%0A1%3A1o%28-1%2B1)2d%0D%0A2%3A1d%282%2B1)3n%0D%0A3%3A1o%284%2B1)4d%0D%0A4%3A4d%282%2B1)5n%0D%0A5%3A4o%284%2B1)6d%0D%0A6%3A6o%28-1%2B1)7d%0D%0A7%3A6o%283%2B1)8d%0D%0A8%3A8o%28-1%2B1)9d%0D%0A9%3A8o%28-1%2B1)10d%0D%0A10%3A10d%282%2B1)11n%0D%0A11%3A6o%286%2B1)12d%0D%0A12%3A12o%28-1%2B1)13d%0D%0A13%3A12o%28-1%2B1)14d%0D%0A14%3A14d%282%2B1)15n%0D%0A;G12718DQ
958;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Aa-dman-HEX-1%3A5%0D%0A8b%3Aa-dman-HEX-1%3A5%0D%0A9b%3Aa-dman-HEX-1%3A5%0D%0A10b%3Aa-dman-HEX-1%3A5%0D%0A11b%3Aa-dman-HEX-1%3A5%0D%0A12b%3Aa-dman-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%28-1%2B1)6d%0D%0A6%3A6o%28-1%2B1)7d%0D%0A7%3A5o%28-1%2B1)8d%0D%0A8%3A8o%28-1%2B1)9d%0D%0A9%3A9o%28-1%2B1)10d%0D%0A10%3A8o%28-1%2B1)11d%0D%0A11%3A11o%28-1%2B1)12d%0D%0A;G63571FM
959;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Ab-dgal-HEX-1%3A5%0D%0A10b%3Aa-dgal-HEX-1%3A5%0D%0A11b%3Ab-dglc-HEX-1%3A5%0D%0A12s%3An-acetyl%0D%0A13b%3Ab-dgal-HEX-1%3A5%0D%0A14b%3Ab-dglc-HEX-1%3A5%0D%0A15s%3An-acetyl%0D%0A16b%3Aa-dman-HEX-1%3A5%0D%0A17b%3Ab-dglc-HEX-1%3A5%0D%0A18s%3An-acetyl%0D%0A19b%3Ab-dgal-HEX-1%3A5%0D%0A20b%3Aa-dgal-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%284%2B1)9d%0D%0A9%3A9o%284%2B1)10d%0D%0A10%3A6o%284%2B1)11d%0D%0A11%3A11d%282%2B1)12n%0D%0A12%3A11o%284%2B1)13d%0D%0A13%3A5o%284%2B1)14d%0D%0A14%3A14d%282%2B1)15n%0D%0A15%3A5o%286%2B1)16d%0D%0A16%3A16o%282%2B1)17d%0D%0A17%3A17d%282%2B1)18n%0D%0A18%3A17o%284%2B1)19d%0D%0A19%3A19o%284%2B1)20d%0D%0A;G81392TU
960;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Ab-dgal-HEX-1%3A5%0D%0A10b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A11s%3An-acetyl%0D%0A12b%3Aa-dman-HEX-1%3A5%0D%0A13b%3Ab-dglc-HEX-1%3A5%0D%0A14s%3An-acetyl%0D%0A15b%3Ab-dgal-HEX-1%3A5%0D%0A16b%3Ab-dglc-HEX-1%3A5%0D%0A17s%3An-acetyl%0D%0A18b%3Ab-dgal-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%284%2B1)9d%0D%0A9%3A9o%286%2B2)10d%0D%0A10%3A10d%285%2B1)11n%0D%0A11%3A5o%286%2B1)12d%0D%0A12%3A12o%282%2B1)13d%0D%0A13%3A13d%282%2B1)14n%0D%0A14%3A13o%284%2B1)15d%0D%0A15%3A12o%286%2B1)16d%0D%0A16%3A16d%282%2B1)17n%0D%0A17%3A16o%284%2B1)18d%0D%0AUND%0D%0AUND1%3A100.0%3A100.0%0D%0AParentIDs%3A1|3|5|6|7|9|10|12|13|15|16|18%0D%0ASubtreeLinkageID1%3Ao%283%2B1)d%0D%0ARES%0D%0A19b%3Aa-dgal-HEX-1%3A5%0D%0A;G62120FH
961;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A10b%3Ab-dgal-HEX-1%3A5%0D%0A11b%3Ab-dglc-HEX-1%3A5%0D%0A12s%3An-acetyl%0D%0A13b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A14b%3Ab-dgal-HEX-1%3A5%0D%0A15b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%286%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%283%2B1)9d%0D%0A9%3A7o%284%2B1)10d%0D%0A10%3A6o%286%2B1)11d%0D%0A11%3A11d%282%2B1)12n%0D%0A12%3A11o%283%2B1)13d%0D%0A13%3A11o%284%2B1)14d%0D%0A14%3A1o%286%2B1)15d%0D%0A;G21672MV
962;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Ab-dgal-HEX-1%3A5%0D%0A10b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A11s%3An-acetyl%0D%0A12b%3Aa-dman-HEX-1%3A5%0D%0A13b%3Ab-dglc-HEX-1%3A5%0D%0A14s%3An-acetyl%0D%0A15b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A16b%3Ab-dgal-HEX-1%3A5%0D%0A17b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A18s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%284%2B1)9d%0D%0A9%3A9o%286%2B2)10d%0D%0A10%3A10d%285%2B1)11n%0D%0A11%3A5o%286%2B1)12d%0D%0A12%3A12o%282%2B1)13d%0D%0A13%3A13d%282%2B1)14n%0D%0A14%3A13o%283%2B1)15d%0D%0A15%3A13o%284%2B1)16d%0D%0A16%3A16o%283%2B2)17d%0D%0A17%3A17d%285%2B1)18n%0D%0A;G97947UQ
963;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Aa-dman-HEX-1%3A5%0D%0A8b%3Aa-dman-HEX-1%3A5%0D%0A9b%3Aa-dman-HEX-1%3A5%0D%0A10b%3Aa-dman-HEX-1%3A5%0D%0A11b%3Aa-dman-HEX-1%3A5%0D%0A12b%3Aa-dman-HEX-1%3A5%0D%0A13b%3Aa-dman-HEX-1%3A5%0D%0A14b%3Aa-dman-HEX-1%3A5%0D%0A15b%3Aa-dman-HEX-1%3A5%0D%0A16b%3Aa-dman-HEX-1%3A5%0D%0A17b%3Aa-dman-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7o%282%2B1)8d%0D%0A8%3A8o%283%2B1)9d%0D%0A9%3A6o%286%2B1)10d%0D%0A10%3A10o%282%2B1)11d%0D%0A11%3A11o%283%2B1)12d%0D%0A12%3A5o%286%2B1)13d%0D%0A13%3A13o%283%2B1)14d%0D%0A14%3A13o%286%2B1)15d%0D%0A15%3A15o%282%2B1)16d%0D%0A16%3A16o%283%2B1)17d%0D%0AUND%0D%0AUND1%3A100.0%3A100.0%0D%0AParentIDs%3A1|3|5|6|7|8|9|10|11|12|13|14|15|16|17%0D%0ASubtreeLinkageID1%3Ao%283%2B1)d%0D%0ARES%0D%0A18b%3Aa-dman-HEX-1%3A5%0D%0A;G63428QC
964;RES%0D%0A1b%3Aa-dman-HEX-1%3A5%0D%0A2b%3Aa-dman-HEX-1%3A5%0D%0A3b%3Aa-dgal-HEX-1%3A5%0D%0A4b%3Aa-dgal-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1o%282%2B1)2d%0D%0A2%3A2o%282%2B1)3d%0D%0A3%3A2o%283%2B1)4d%0D%0A;G33367WZ
965;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Ab-dgal-HEX-1%3A5%0D%0A10b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A11s%3An-acetyl%0D%0A12b%3Aa-dman-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%284%2B1)9d%0D%0A9%3A9o%283%2B2)10d%0D%0A10%3A10d%285%2B1)11n%0D%0A11%3A5o%286%2B1)12d%0D%0A;G14996IQ
966;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dgal-HEX-1%3A5%0D%0A4b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A5b%3Ab-dgal-HEX-1%3A5%0D%0A6b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A7b%3Aa-dgal-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%283%2B1)3d%0D%0A3%3A3o%282%2B1)4d%0D%0A4%3A3o%283%2B1)5d%0D%0A5%3A5o%282%2B1)6d%0D%0A6%3A5o%283%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A;G80615ZF
967;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ax-dglc-HEX-1%3A5%0D%0A4s%3Asulfate%0D%0A5s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%286%2B1)3d%0D%0A3%3A3o%28-1%2B1)4n%0D%0A4%3A3d%282%2B1)5n%0D%0A;G97923LO
968;;G97923LO
